Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
23.0781, 0, 34, 0, 34
23.1442, 0, 34, 0, 34
23.1706, 0, 34, 0, 34
23.2472, 0, 34, 64, 34
23.2585, 0, 34, 64, 34
23.2955, 0, 34, 64, 24
23.2961, 64, 34, 64, 24
23.3480, 64, 34, 64, 24
23.3776, 64, 24, 64, 24
23.4206, 64, 24, 64, 24
23.5058, 64, 24, 64, 24
23.5120, 64, 24, 14, 24
23.5216, 64, 24, 14, 24
23.5553, 64, 24, 14, 87
23.5902, 14, 24, 14, 87
23.6261, 14, 24, 14, 87
23.6377, 14, 87, 14, 87
23.7143, 14, 87, 14, 87
23.7799, 14, 87, 14, 87
23.8166, 14, 87, 56, 87
23.8269, 14, 87, 56, 87
23.8638, 14, 87, 56, 43
23.8987, 56, 87, 56, 43
23.9458, 56, 87, 56, 43
23.9608, 56, 43, 56, 43
24.0320, 56, 43, 56, 43
24.0926, 56, 43, 56, 43
24.1295, 56, 43, 91, 43
24.1395, 56, 43, 91, 43
24.1749, 56, 43, 91, 27
24.2264, 91, 43, 91, 27
24.2632, 91, 43, 91, 27
24.2780, 91, 27, 91, 27
24.3532, 91, 27, 91, 27
24.4512, 91, 27, 65, 27
24.4631, 91, 27, 65, 27
24.4669, 65, 27, 65, 27
24.4944, 65, 27, 65, 27
24.5193, 65, 27, 65, 27
24.5743, 65, 27, 65, 59
24.5853, 65, 27, 65, 59
24.6101, 65, 59, 65, 59
24.6948, 65, 59, 36, 59
24.7282, 65, 59, 36, 59
24.7380, 36, 59, 36, 59
24.7726, 36, 59, 36, 59
24.8059, 36, 59, 36, 59
24.8442, 36, 59, 36, 32
24.8587, 36, 59, 36, 32
24.8958, 36, 32, 36, 32
24.9487, 36, 32, 51, 32
24.9828, 36, 32, 51, 32
24.9938, 51, 32, 51, 32
25.0312, 51, 32, 51, 32
25.0655, 51, 32, 51, 32
25.1035, 51, 32, 51, 37
25.1186, 51, 32, 51, 37
25.1590, 51, 37, 51, 37
25.2058, 51, 37, 28, 37
25.2405, 51, 37, 28, 37
25.2504, 28, 37, 28, 37
25.2874, 28, 37, 28, 37
25.3238, 28, 37, 28, 37
25.3607, 28, 37, 28, 75
25.3759, 28, 37, 28, 75
25.4170, 28, 75, 28, 75
25.4634, 28, 75, 7, 75
25.4985, 28, 75, 7, 75
25.5092, 7, 75, 7, 75
25.5468, 7, 75, 7, 75
25.5790, 7, 75, 7, 75
25.6161, 7, 75, 7, 74
25.6314, 7, 75, 7, 74
25.6721, 7, 74, 7, 74
25.7350, 7, 74, 21, 74
25.8199, 7, 74, 21, 74
25.8314, 21, 74, 21, 74
25.8684, 21, 74, 21, 74
25.9036, 21, 74, 21, 74
25.9428, 21, 74, 21, 58
25.9580, 21, 74, 21, 58
26.0878, 21, 74, 95, 58
26.1132, 21, 58, 95, 58
26.2296, 21, 58, 95, 58
26.2441, 95, 58, 95, 58
26.3397, 95, 58, 95, 58
26.3629, 95, 58, 95, 58
26.4093, 95, 58, 95, 29
26.4222, 95, 58, 95, 29
26.4499, 95, 29, 95, 29
26.5587, 95, 29, 37, 29
26.5915, 95, 29, 37, 29
26.6025, 37, 29, 37, 29
26.6396, 37, 29, 37, 29
26.6733, 37, 29, 37, 29
26.7144, 37, 29, 37, 35
26.7296, 37, 29, 37, 35
26.7692, 37, 35, 37, 35
26.8221, 37, 35, 93, 35
26.9231, 37, 35, 93, 35
26.9354, 93, 35, 93, 35
26.9726, 93, 35, 93, 35
26.9983, 93, 35, 93, 35
27.0550, 93, 35, 93, 18
27.0670, 93, 35, 93, 18
27.0940, 93, 18, 93, 18
27.1946, 93, 18, 28, 18
27.2244, 93, 18, 28, 18
27.2347, 28, 18, 28, 18
27.2897, 28, 18, 28, 18
27.3278, 28, 18, 28, 18
27.3667, 28, 18, 28, 43
27.3810, 28, 18, 28, 43
27.4202, 28, 43, 28, 43
27.4650, 28, 43, 11, 43
27.4984, 28, 43, 11, 43
27.5086, 11, 43, 11, 43
27.5442, 11, 43, 11, 43
27.5768, 11, 43, 11, 43
27.6132, 11, 43, 11, 28
27.6275, 11, 43, 11, 28
27.6663, 11, 28, 11, 28
27.7122, 11, 28, 29, 28
27.7463, 11, 28, 29, 28
27.7570, 29, 28, 29, 28
27.7931, 29, 28, 29, 28
27.8263, 29, 28, 29, 28
27.8683, 29, 28, 29, 76
27.8822, 29, 28, 29, 76
27.9244, 29, 76, 29, 76
27.9780, 29, 76, 4, 76
28.0254, 29, 76, 4, 76
28.0373, 4, 76, 4, 76
28.0719, 4, 76, 4, 76
28.0735, 4, 76, 4, 76
28.1198, 4, 76, 4, 43
28.1303, 4, 76, 4, 43
28.1992, 4, 43, 4, 43
28.2243, 4, 43, 63, 43
28.3197, 4, 43, 63, 43
28.3247, 63, 43, 63, 43
28.3377, 63, 43, 63, 43
