Time, r_SP, r_MV, w_output, r_u, w_y, w_output
4.7661, 0.0000, 0.8645, -0.8879, -0.8879, 0.8645, 0.0000
4.8123, 0.0000, 0.8645, -0.8879, -0.8879, 0.8645, 0.0000
4.8216, 0.0000, 0.8645, -0.8879, -0.8761, 0.8645, 0.0000
4.8540, 0.0000, 0.8645, -0.8879, -0.8761, 0.8645, 0.0000
4.8729, 0.0000, 0.8645, -0.8761, -0.8761, 0.8645, 0.0000
4.9557, 0.0000, 0.8645, -0.8761, -0.8761, 0.8645, 0.0000
4.9790, 0.0000, 0.8645, -0.8761, -0.8761, 0.8645, 0.0000
4.9838, 0.0000, 0.8645, -0.8761, -0.8761, 0.8645, 0.0000
5.0197, 0.0000, 0.8645, -0.8761, -0.8761, 0.8645, 0.0000
5.0342, 0.0000, 0.8645, -0.8761, -0.8645, 0.8645, 0.0000
5.0460, 0.0000, 0.8645, -0.8645, -0.8645, 0.8645, 0.0000
5.0660, 0.0000, 0.8645, -0.8645, -0.8645, 0.8645, 0.0000
5.0746, 0.0000, 0.8530, -0.8645, -0.8645, 0.8645, 0.0000
5.1065, 0.0000, 0.8530, -0.8645, -0.8645, 0.8645, 0.0000
5.1189, 0.0000, 0.8530, -0.8645, -0.8645, 0.8645, 0.0000
5.1331, 0.0000, 0.8530, -0.8645, -0.8645, 0.8530, 0.0000
5.1570, 0.0000, 0.8530, -0.8645, -0.8645, 0.8530, 0.0000
5.2602, 0.0000, 0.8530, -0.8645, -0.8645, 0.8530, 0.0000
5.2658, 0.0000, 0.8530, -0.8645, -0.8645, 0.8530, 0.0000
5.3298, 0.0000, 0.8530, -0.8645, -0.8645, 0.8530, 0.0000
5.3370, 0.0000, 0.8530, -0.8530, -0.8645, 0.8530, 0.0000
5.3487, 0.0000, 0.8530, -0.8530, -0.8645, 0.8530, 0.0000
5.3744, 0.0000, 0.8530, -0.8530, -0.8645, 0.8530, 0.0000
5.3851, 0.0000, 0.8530, -0.8530, -0.8645, 0.8530, 0.0000
5.4181, 0.0000, 0.8530, -0.8530, -0.8645, 0.8530, 0.0000
5.4309, 0.0000, 0.8530, -0.8530, -0.8645, 0.8418, 0.0000
5.4355, 0.0000, 0.8530, -0.8530, -0.8645, 0.8418, 0.0000
5.4517, 0.0000, 0.8418, -0.8530, -0.8645, 0.8418, 0.0000
5.4594, 0.0000, 0.8418, -0.8530, -0.8530, 0.8418, 0.0000
5.5416, 0.0000, 0.8418, -0.8530, -0.8530, 0.8418, 0.0000
5.5880, 0.0000, 0.8418, -0.8530, -0.8530, 0.8418, 0.0000
5.5938, 0.0000, 0.8418, -0.8530, -0.8530, 0.8418, 0.0000
5.6507, 0.0000, 0.8418, -0.8530, -0.8530, 0.8418, 0.0000
5.6611, 0.0000, 0.8306, -0.8530, -0.8530, 0.8418, 0.0000
5.6650, 0.0000, 0.8306, -0.8418, -0.8530, 0.8418, 0.0000
5.6689, 0.0000, 0.8306, -0.8418, -0.8530, 0.8418, 0.0000
5.6943, 0.0000, 0.8306, -0.8418, -0.8418, 0.8418, 0.0000
5.7089, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.7265, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.7376, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.7662, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.8860, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.9058, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.9413, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.9447, 0.0000, 0.8306, -0.8418, -0.8418, 0.8306, 0.0000
5.9456, 0.0000, 0.8196, -0.8418, -0.8418, 0.8306, 0.0000
5.9486, 0.0000, 0.8196, -0.8418, -0.8418, 0.8306, 0.0000
5.9497, 0.0000, 0.8196, -0.8418, -0.8418, 0.8196, 0.0000
6.0049, 0.0000, 0.8196, -0.8418, -0.8418, 0.8196, 0.0000
5.9184, 0.0000, 0.8196, -0.8306, -0.8418, 0.8196, 0.0000
