Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
39.7936, 37081, -1334181888, 37081, -1334181888
39.8446, 37081, -1334181888, 37081, -1334181888
39.8653, 37081, -1334181888, 37081, -1334181888
39.9062, 37081, -1334181888, 37081, -1334181888
39.9174, 37081, -1334181888, 37081, -1334181888
39.9437, 37081, -1334181888, 37081, -1334181888
40.6483, 37081, -1334181888, 37081, -1334181888
40.7259, 37081, -1334181888, 37081, -1334181888
40.7369, 37081, -1334181888, 37081, -1334181888
40.7642, 37081, -1334181888, 37081, -1334181888
40.7728, 37081, -1334181888, 37081, -1334181888
40.8017, 37081, -1334181888, 37081, -1334181888
40.8130, 37081, -1334181888, 37081, -1334181888
40.8418, 37081, -1334181888, 37081, -1334181888
42.0383, 37081, -1334181888, 37081, -1334181888
42.0784, 37081, -1334181888, 37081, -1334181888
42.0906, 37081, -1334181888, 37081, -1334181888
42.1299, 37081, -1334181888, 37081, -1334181888
42.1587, 37081, -1334181888, 37081, -1334181888
42.2089, 37081, -1334181888, 37081, -1334181888
42.2197, 37081, -1334181888, 37081, -1334181888
42.2300, 37081, -1334181888, 37081, -1334181888
42.6648, 37081, -1334181888, 37081, -1334181888
42.7451, 37081, -1334181888, 37081, -1334181888
42.7575, 37081, -1334181888, 37081, -1334181888
42.7857, 37081, -1334181888, 37081, -1334181888
42.7948, 37081, -1334181888, 37081, -1334181888
42.8259, 37081, -1334181888, 37081, -1334181888
42.8379, 37081, -1334181888, 37081, -1334181888
42.8647, 37081, -1334181888, 37081, -1334181888
43.6286, 37081, -1334181888, 37081, -1334181888
43.7074, 37081, -1334181888, 37081, -1334181888
43.7194, 37081, -1334181888, 37081, -1334181888
43.7468, 37081, -1334181888, 37081, -1334181888
43.7568, 37081, -1334181888, 37081, -1334181888
43.7869, 37081, -1334181888, 37081, -1334181888
43.7986, 37081, -1334181888, 37081, -1334181888
43.8254, 37081, -1334181888, 37081, -1334181888
44.6371, 37081, -1334181888, 37081, -1334181888
44.7130, 37081, -1334181888, 37081, -1334181888
44.7251, 37081, -1334181888, 37081, -1334181888
44.7520, 37081, -1334181888, 37081, -1334181888
44.7621, 37081, -1334181888, 37081, -1334181888
44.7909, 37081, -1334181888, 37081, -1334181888
44.8028, 37081, -1334181888, 37081, -1334181888
44.8295, 37081, -1334181888, 37081, -1334181888
45.6660, 37081, -1334181888, 37081, -1334181888
45.7528, 37081, -1334181888, 37081, -1334181888
45.7649, 37081, -1334181888, 37081, -1334181888
45.7935, 37081, -1334181888, 37081, -1334181888
45.8083, 37081, -1334181888, 37081, -1334181888
